indicator,geo,geo_type,province,residence,sex,value
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Rwanda,Both sexes,64.0
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Rwanda,Male,61.6
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Rwanda,Female,66.5
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Urban,Both sexes,71.1
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Urban,Male,70.6
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Urban,Female,71.7
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Rural,Both sexes,63.3
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Rural,Male,60.7
School attendance 13-18 (%),Gatsibo,District,Eastern Province,Rural,Female,65.9
School attendance 13-18 (%),Kayonza,District,Eastern Province,Rwanda,Both sexes,62.8
School attendance 13-18 (%),Kayonza,District,Eastern Province,Rwanda,Male,60.7
School attendance 13-18 (%),Kayonza,District,Eastern Province,Rwanda,Female,64.9
School attendance 13-18 (%),Kayonza,District,Eastern Province,Urban,Both sexes,69.0
School attendance 13-18 (%),Kayonza,District,Eastern Province,Urban,Male,70.0
School attendance 13-18 (%),Kayonza,District,Eastern Province,Urban,Female,68.0
School attendance 13-18 (%),Kayonza,District,Eastern Province,Rural,Both sexes,61.8
School attendance 13-18 (%),Kayonza,District,Eastern Province,Rural,Male,59.4
School attendance 13-18 (%),Kayonza,District,Eastern Province,Rural,Female,64.4
School attendance 13-18 (%),Kirehe,District,Eastern Province,Rwanda,Both sexes,66.9
School attendance 13-18 (%),Kirehe,District,Eastern Province,Rwanda,Male,66.0
School attendance 13-18 (%),Kirehe,District,Eastern Province,Rwanda,Female,67.8
School attendance 13-18 (%),Kirehe,District,Eastern Province,Urban,Both sexes,69.0
School attendance 13-18 (%),Kirehe,District,Eastern Province,Urban,Male,69.4
School attendance 13-18 (%),Kirehe,District,Eastern Province,Urban,Female,68.7
School attendance 13-18 (%),Kirehe,District,Eastern Province,Rural,Both sexes,66.7
School attendance 13-18 (%),Kirehe,District,Eastern Province,Rural,Male,65.8
School attendance 13-18 (%),Kirehe,District,Eastern Province,Rural,Female,67.7
School attendance 13-18 (%),Ngoma,District,Eastern Province,Rwanda,Both sexes,59.2
School attendance 13-18 (%),Ngoma,District,Eastern Province,Rwanda,Male,57.8
School attendance 13-18 (%),Ngoma,District,Eastern Province,Rwanda,Female,60.6
School attendance 13-18 (%),Ngoma,District,Eastern Province,Urban,Both sexes,70.7
School attendance 13-18 (%),Ngoma,District,Eastern Province,Urban,Male,70.5
School attendance 13-18 (%),Ngoma,District,Eastern Province,Urban,Female,71.0
School attendance 13-18 (%),Ngoma,District,Eastern Province,Rural,Both sexes,58.1
School attendance 13-18 (%),Ngoma,District,Eastern Province,Rural,Male,56.7
School attendance 13-18 (%),Ngoma,District,Eastern Province,Rural,Female,59.5
School attendance 13-18 (%),Bugesera,District,Eastern Province,Rwanda,Both sexes,65.9
School attendance 13-18 (%),Bugesera,District,Eastern Province,Rwanda,Male,64.6
School attendance 13-18 (%),Bugesera,District,Eastern Province,Rwanda,Female,67.1
School attendance 13-18 (%),Bugesera,District,Eastern Province,Urban,Both sexes,69.4
School attendance 13-18 (%),Bugesera,District,Eastern Province,Urban,Male,70.4
School attendance 13-18 (%),Bugesera,District,Eastern Province,Urban,Female,68.4
School attendance 13-18 (%),Bugesera,District,Eastern Province,Rural,Both sexes,63.8
School attendance 13-18 (%),Bugesera,District,Eastern Province,Rural,Male,61.5
School attendance 13-18 (%),Bugesera,District,Eastern Province,Rural,Female,66.2
