year,quarter,sex,education,value
2022,Q2,Female,Primary,32.24931962753949
2022,Q3,Female,Primary,34.40148486133944
2022,Q4,Female,Primary,32.4048171778654
2023,Q1,Female,Primary,31.17599178116073
2023,Q2,Female,Primary,29.161479159297816
2023,Q3,Female,Primary,29.462630201190198
2023,Q4,Female,Primary,29.121279327032802
2024,Q1,Female,Primary,31.059356617741813
2024,Q2,Female,Primary,31.248977338600074
2024,Q3,Female,Primary,30.494551628982563
2024,Q4,Female,Primary,29.98761992995484
2025,Q1,Female,Primary,29.659934378981706
2025,Q2,Female,Primary,30.47950821402219
2025,Q3,Female,Primary,30.217041347823166
2025,Q4,Female,Primary,29.97044879512714
2019,Q1,Female,Lower secondary,4.838883439796239
2019,Q2,Female,Lower secondary,5.37052428583431
2019,Q3,Female,Lower secondary,5.513260137800798
2019,Q4,Female,Lower secondary,5.669232466259926
2020,Q1,Female,Lower secondary,5.407755350982605
2020,Q2,Female,Lower secondary,8.061997467458758
2020,Q3,Female,Lower secondary,7.246687329805503
2020,Q4,Female,Lower secondary,6.821209718500299
2021,Q1,Female,Lower secondary,5.7111841695746035
2021,Q2,Female,Lower secondary,6.009233617165961
2021,Q3,Female,Lower secondary,7.108429311146367
2021,Q4,Female,Lower secondary,5.417817679569494
2022,Q1,Female,Lower secondary,6.871968469448057
2022,Q2,Female,Lower secondary,5.827324710795691
2022,Q3,Female,Lower secondary,6.611961274165422
2022,Q4,Female,Lower secondary,5.990126529108954
2023,Q1,Female,Lower secondary,5.5556149160900485
2023,Q2,Female,Lower secondary,6.413828309928547
2023,Q3,Female,Lower secondary,7.029693818092783
2023,Q4,Female,Lower secondary,6.303524776984372
2024,Q1,Female,Lower secondary,5.822640163980022
2024,Q2,Female,Lower secondary,6.586178457757598
2024,Q3,Female,Lower secondary,7.429306280797318
2024,Q4,Female,Lower secondary,6.63254279312846
2025,Q1,Female,Lower secondary,6.733622854912673
2025,Q2,Female,Lower secondary,6.424999616031197
2025,Q3,Female,Lower secondary,8.93033051408589
2025,Q4,Female,Lower secondary,7.071779955070913
2019,Q1,Female,Upper secondary,9.142298699370647
2019,Q2,Female,Upper secondary,9.540873377198714
2019,Q3,Female,Upper secondary,10.21360221577947
2019,Q4,Female,Upper secondary,8.95290900594071
2020,Q1,Female,Upper secondary,9.49968848102787
2020,Q2,Female,Upper secondary,9.880939271652773
2020,Q3,Female,Upper secondary,9.796775400347165
2020,Q4,Female,Upper secondary,9.501081622717345
2021,Q1,Female,Upper secondary,7.958793292810562
2021,Q2,Female,Upper secondary,9.9042774744012
2021,Q3,Female,Upper secondary,9.798902221610325
2021,Q4,Female,Upper secondary,9.230049216346702
2022,Q1,Female,Upper secondary,8.13742325227237
2022,Q2,Female,Upper secondary,10.13068300225089
2022,Q3,Female,Upper secondary,7.4104872571057205
2022,Q4,Female,Upper secondary,10.54778347538894
2023,Q1,Female,Upper secondary,8.887691227898934
2023,Q2,Female,Upper secondary,8.783104903579273
2023,Q3,Female,Upper secondary,9.319394186185802
2023,Q4,Female,Upper secondary,9.441494730581987
2024,Q1,Female,Upper secondary,10.456650679438736
2024,Q2,Female,Upper secondary,10.8428970586332
2024,Q3,Female,Upper secondary,10.825042164204705
2024,Q4,Female,Upper secondary,10.169591347191481
2025,Q1,Female,Upper secondary,10.031092104033947
2025,Q2,Female,Upper secondary,10.647579071399752
2025,Q3,Female,Upper secondary,10.780636822882048
2025,Q4,Female,Upper secondary,11.025349093181168
2019,Q1,Female,University/Higher,5.702712177632561
2019,Q2,Female,University/Higher,6.754208783085335
2019,Q3,Female,University/Higher,6.570954500732412
2019,Q4,Female,University/Higher,6.347135398261659
2020,Q1,Female,University/Higher,6.468603873341201
2020,Q2,Female,University/Higher,6.0435546095785195
2020,Q3,Female,University/Higher,6.100600752357386
2020,Q4,Female,University/Higher,6.858347608855066
2021,Q1,Female,University/Higher,5.878155338422012
2021,Q2,Female,University/Higher,7.825403924408516
2021,Q3,Female,University/Higher,5.962375691268396
2021,Q4,Female,University/Higher,6.7643135025576715
2022,Q1,Female,University/Higher,5.297631070304291
2022,Q2,Female,University/Higher,6.54080300447859
2022,Q3,Female,University/Higher,7.04914710767018
2022,Q4,Female,University/Higher,6.2241494877241035
2023,Q1,Female,University/Higher,4.870876012373489
2023,Q2,Female,University/Higher,5.167927634192457
2023,Q3,Female,University/Higher,5.931102670264825
2023,Q4,Female,University/Higher,6.301208949695472
2024,Q1,Female,University/Higher,5.349488975830643
2024,Q2,Female,University/Higher,5.713608206475353
2024,Q3,Female,University/Higher,5.132547494220961
2024,Q4,Female,University/Higher,4.737297867572028
2025,Q1,Female,University/Higher,4.313537944681496
2025,Q2,Female,University/Higher,4.613754104266307
2025,Q3,Female,University/Higher,4.537581645479858
2025,Q4,Female,University/Higher,4.9103747080437765
